;l_id;v_id_1;v_id_2;voltage;cables;wires;frequency;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation
399;400;80;291;380000;3.0;3.0;50.0;;;MP;6544;0.033333;0.333333;10.275;1.95;2927600.0
400;401;278;292;220000;3.0;1.0;50.0;;50Hertz;335;26903;0.16;0.64;5.75;0.65;2928064.0
401;402;278;292;220000;3.0;1.0;50.0;;50Hertz;336;26898;0.16;0.64;5.75;0.65;2928066.0
402;403;37;292;380000;3.0;3.0;50.0;;50Hertz;438;48848;0.033333;0.333333;10.275;1.95;2928164.0
403;404;292;74;380000;3.0;3.0;50.0;532;50Hertz;532;179417;0.033333;0.333333;10.275;1.95;2928165.0
404;405;292;74;380000;3.0;3.0;50.0;531;50Hertz;531;179406;0.033333;0.333333;10.275;1.95;2928166.0
405;406;37;292;380000;3.0;3.0;50.0;;50Hertz;437;48771;0.033333;0.333333;10.275;1.95;2928167.0
406;407;78;293;220000;3.0;2.0;50.0;;50Hertz;383;16091;0.08;0.32;11.5;1.3;2952529.0
407;408;78;293;220000;3.0;2.0;50.0;;50Hertz;384;16123;0.08;0.32;11.5;1.3;2952531.0
408;409;78;294;380000;3.0;3.0;50.0;;50Hertz;463;50419;0.033333;0.333333;10.275;1.95;2952534.0
409;410;78;294;380000;3.0;3.0;50.0;;50Hertz;464;50384;0.033333;0.333333;10.275;1.95;2952535.0
410;411;199;248;220000;3.0;2.0;50.0;Lünen 7;RWE;;2350;0.08;0.32;11.5;1.3;3028644.0
411;412;5;295;220000;3.0;1.0;50.0;Leitung 2025;TenneT;2;10724;0.16;0.64;5.75;0.65;3098194.0
412;413;1;2;220000;3.0;2.0;50.0;Leitung 2016;TenneT;2016;43392;0.08;0.32;11.5;1.3;3109536.0
413;414;4;296;380000;3.0;4.0;50.0;;TenneT;;1387;0.025;0.25;13.7;2.6;3109537.0
414;415;4;296;380000;3.0;4.0;50.0;Leitung 3004;TenneT;;1118;0.025;0.25;13.7;2.6;3109538.0
415;416;2;201;220000;3.0;2.0;50.0;Leitung 2010/2023;TenneT;2;76534;0.08;0.32;11.5;1.3;3109602.0
416;417;3;4;380000;3.0;4.0;50.0;Leitung 3011;TenneT;;72710;0.025;0.25;13.7;2.6;3109630.0
417;418;5;297;220000;3.0;2.0;50.0;Leitung 2028/2029;TenneT;3;16058;0.08;0.32;11.5;1.3;3113413.0
418;419;5;298;220000;3.0;2.0;50.0;Leitung 2028;TenneT;2;6658;0.08;0.32;11.5;1.3;3113414.0
419;420;297;299;220000;3.0;2.0;50.0;Leitung 2027;TenneT;1;30710;0.08;0.32;11.5;1.3;3113438.0
420;421;61;161;220000;3.0;2.0;50.0;201 grün;TenneT;201;35163;0.08;0.32;11.5;1.3;3114809.0
421;422;5;6;220000;3.0;2.0;50.0;Leitung 2024;TenneT;1;33893;0.08;0.32;11.5;1.3;3115297.0
422;423;117;123;380000;3.0;4.0;50.0;Ville Ost;Amprion;;33945;0.025;0.25;13.7;2.6;3228400.0
423;424;133;117;380000;3.0;2.0;50.0;Walberberg West;Amprion;;12909;0.05;0.5;6.85;1.3;3228401.0
424;425;71;74;380000;3.0;3.0;50.0;502;50Hertz;502;169061;0.033333;0.333333;10.275;1.95;3302864.0
425;426;74;280;380000;;4.0;50.0;561 Ragow-Streumen;50Hertz;561;89009;;;;;3306342.0
426;427;74;280;380000;;4.0;50.0;562 Ragow-Streumen;50Hertz;562;89020;;;;;3306343.0
427;428;94;265;220000;3.0;2.0;50.0;Bohmte Ost;Amprion;;21143;0.08;0.32;11.5;1.3;3345100.0
428;429;300;94;220000;3.0;2.0;50.0;Diepholz Ost;Amprion;;32836;0.08;0.32;11.5;1.3;3345101.0
429;430;16;5;380000;3.0;;50.0;Leitung 3023;TenneT;1;36258;;;;;3528700.0
430;431;5;301;380000;3.0;4.0;50.0;Leitung 3026;TenneT;3026;9379;0.025;0.25;13.7;2.6;3533527.0
431;432;32;294;380000;6.0;;50.0;380 kV Leitung Thüringer Wald;;;55916;;;;;3533700.0
432;433;5;29;380000;3.0;4.0;50.0;Leitung 3007;TenneT;1;85898;0.025;0.25;13.7;2.6;3534540.0
433;434;5;29;380000;3.0;4.0;50.0;Leitung 3007;TenneT;2;85903;0.025;0.25;13.7;2.6;3534541.0
434;435;9;29;380000;3.0;4.0;50.0;Leitung 3021;TenneT;;25570;0.025;0.25;13.7;2.6;3534542.0
435;436;302;303;380000;6.0;4.0;50.0;;;;56535;0.0125;0.125;27.4;5.2;3687783.0
436;437;51;302;380000;6.0;4.0;;;;;29743;0.0125;0.125;27.4;5.2;3687803.0
437;438;246;304;380000;6.0;4.0;;Dipperz - Großkrotzenburg;;;89153;0.0125;0.125;27.4;5.2;3688562.0
438;439;31;304;380000;6.0;4.0;50.0;;TenneT;3010;50490;0.0125;0.125;27.4;5.2;3688563.0
439;440;305;306;380000;;;;Einspeisung Umrichter Neckarwestheim;;;254;;;;;3693985.0
440;441;307;306;380000;3.0;3.0;50.0;;;;16822;0.033333;0.333333;10.275;1.95;3693986.0
441;442;308;309;380000;3.0;;;Grafenrheinfeld - Höpfingen;;;92485;;;;;3694014.0
442;443;307;310;380000;;;50.0;;;;7022;;;;;3694015.0
443;444;307;311;380000;3.0;3.0;50.0;Kupferzell - Großgartach;;;47743;0.033333;0.333333;10.275;1.95;3694016.0
444;445;312;311;380000;3.0;4.0;50.0;;;;55273;0.025;0.25;13.7;2.6;3694017.0
445;446;308;311;380000;3.0;;;;;348;101452;;;;;3694018.0
446;447;307;261;380000;6.0;;;Großgartach-Pulverdingen;;;29612;;;;;3697399.0
447;448;500;282;380000;6.0;;;"587;588 Pulgar - Eula";50Hertz;"587;588";19830;;;;;3707291.0
448;449;282;280;380000;6.0;3.0;;"585;586 Eula - Streumen";50Hertz;"585;586";84425;0.016667;0.166667;20.55;3.9;3707292.0
449;450;500;32;380000;3.0;3.0;;Pulgar - Vieselbach;50Hertz Transmission;589;104451;0.033333;0.333333;10.275;1.95;3707293.0
450;451;13;314;380000;6.0;4.0;;;;"419;420";50053;0.0125;0.125;27.4;5.2;3710278.0
451;452;315;316;380000;3.0;4.0;;;;A12;35196;0.025;0.25;13.7;2.6;3710279.0
452;453;314;315;380000;3.0;4.0;;;;L11;51643;0.025;0.25;13.7;2.6;3710281.0
453;454;247;317;220000;3.0;4.0;;Leupolz - Westtirol (220 kV);;;81800;0.04;0.16;23.0;2.6;3710282.0
454;455;247;317;380000;3.0;4.0;;Leupolz - Westtirol (380 kV);;;81820;0.025;0.25;13.7;2.6;3710283.0
455;456;314;318;380000;6.0;4.0;;;;"M12/1;M12/2";1018;0.0125;0.125;27.4;5.2;3710284.0
456;457;314;316;380000;3.0;4.0;;;;;30847;0.025;0.25;13.7;2.6;3710286.0
457;458;264;236;220000;3.0;2.0;;;;;123691;0.08;0.32;11.5;1.3;3712136.0
458;459;264;216;380000;3.0;2.0;;;Amprion;;123198;0.05;0.5;6.85;1.3;3712137.0
459;460;319;233;380000;;3.0;;Dellmensingen - Laichingen;;;24373;;;;;3712217.0
460;461;320;319;380000;3.0;3.0;;Laichingen - Wendlingen;;;36050;0.033333;0.333333;10.275;1.95;3717715.0
461;462;416;501;400000;3.0;4.0;50.0;Asphard (CH) - Sierenz (FR);;;33218;;;;;3717716.0
462;463;231;52;380000;3.0;4.0;;Daxlanden - Kühmoos;;;203746;0.025;0.25;13.7;2.6;3717717.0
463;464;321;322;220000;3.0;4.0;;Eichstetten (DE) - Vogelgrün (FR);;;18423;0.04;0.16;23.0;2.6;3717719.0
464;465;279;323;220000;3.0;;50.0;Röhrsdorf - Crossen;50Hertz;212;30256;;;;;3730414.0
465;466;279;65;380000;3.0;3.0;50.0;;;445;81644;0.033333;0.333333;10.275;1.95;3730415.0
466;467;324;290;380000;3.0;3.0;;553 Schmölln - Hagenwerder;50Hertz;553;56622;0.033333;0.333333;10.275;1.95;3730416.0
467;468;324;325;380000;3.0;3.0;;;;567;15169;0.033333;0.333333;10.275;1.95;3730417.0
468;469;324;325;380000;3.0;3.0;;;;568;16002;0.033333;0.333333;10.275;1.95;3730418.0
469;470;279;326;380000;3.0;3.0;;;50Hertz;591;85362;0.033333;0.333333;10.275;1.95;3730420.0
470;471;326;327;380000;3.0;3.0;;;50Hertz;592;47762;0.033333;0.333333;10.275;1.95;3730421.0
471;472;279;327;380000;3.0;3.0;;;50Hertz;594;37518;0.033333;0.333333;10.275;1.95;3730422.0
472;473;384;353;380000;6.0;2.0;50.0;;;"424;425";100720;0.025;0.25;13.7;2.6;3732172.0
473;474;328;329;220000;3.0;;;Simbach (DE) - St. Peter (AT);;230;11569;;;;;3732376.0
474;475;330;328;220000;3.0;1.0;;Altheim (DE) - St. Peter (AT);;233;77863;0.16;0.64;5.75;0.65;3732377.0
475;476;330;329;220000;3.0;1.0;;;;234;74283;0.16;0.64;5.75;0.65;3732378.0
476;477;328;331;220000;3.0;;;St. Peter (AT) - Pirach (DE);;256;42417;;;;;3732379.0
477;478;332;331;220000;3.0;;;;;257;86154;;;;;3732380.0
478;479;332;328;220000;3.0;;;Pleinting (DE) - St. Peter (AT);;258;48648;;;;;3732381.0
479;480;273;333;400000;6.0;2.0;50.0;Jardelund (DE) - Kassø (DK);;;22616;;;;;3732382.0
480;481;334;78;380000;3.0;3.0;;;;413;56015;0.033333;0.333333;10.275;1.95;3732383.0
481;482;335;308;380000;3.0;4.0;;;;423;49572;0.025;0.25;13.7;2.6;3732385.0
482;483;334;502;380000;3.0;4.0;;;;428;58294;0.025;0.25;13.7;2.6;3732386.0
483;484;334;335;380000;3.0;4.0;;;;435;43353;0.025;0.25;13.7;2.6;3732387.0
484;485;334;336;380000;3.0;2.0;;;;437;49452;0.05;0.5;6.85;1.3;3732388.0
485;486;66;336;380000;3.0;2.0;;;;PWR 437;88422;0.05;0.5;6.85;1.3;3732389.0
486;487;332;337;380000;6.0;4.0;;;;"451;452";63565;0.0125;0.125;27.4;5.2;3732390.0
487;488;338;66;380000;3.0;2.0;;;;457;43396;0.05;0.5;6.85;1.3;3732391.0
488;489;332;338;380000;3.0;2.0;;;;465;112852;0.05;0.5;6.85;1.3;3732392.0
489;490;68;70;380000;3.0;;;Trebur Nord;;;46997;;;;;3736194.0
490;491;68;339;220000;3.0;;;Urberach - Beerfelden;;;52869;;;;;3736195.0
491;492;324;290;380000;3.0;3.0;;554 Schmöln - Hagenwerder;50Hertz;554;56622;0.033333;0.333333;10.275;1.95;3738981.0
492;493;326;290;380000;;;50.0;;50Hertz;"555;556";36426;;;;;3738982.0
493;494;341;282;220000;3.0;1.0;;;50Hertz;233;26919;0.16;0.64;5.75;0.65;3739952.0
494;495;341;342;220000;;;;;50Hertz;357;131763;;;;;3739953.0
495;496;282;342;220000;3.0;1.0;;;50Hertz;358;158679;0.16;0.64;5.75;0.65;3739954.0
496;497;343;294;380000;6.0;3.0;;Altenfeld - Goldisthal;;'461;462';8084.0;0.016667;0.166667;20.55;3.9
497;498;279;344;220000;3.0;2.0;;;50Hertz;226;18298;0.08;0.32;11.5;1.3;3742237.0
498;499;281;345;220000;6.0;;;;50Hertz;"231;232";32210;;;;;3742238.0
499;500;32;342;220000;3.0;2.0;;367 Wolkramshausen - Vieselbach;50Hertz;367;65772;0.08;0.32;11.5;1.3;3742239.0
500;501;32;342;220000;3.0;2.0;;368 Wolkramshausen - Vieselbach;;368;65769;0.08;0.32;11.5;1.3;3742240.0
501;502;72;32;380000;3.0;4.0;;471 Lauchstädt - Vieselbach;50Hertz;471;78039;0.025;0.25;13.7;2.6;3742241.0
502;503;72;32;380000;3.0;4.0;;472 Lauchstädt - Vieselbach;50Hertz;472;78036;0.025;0.25;13.7;2.6;3742242.0
503;504;346;347;380000;6.0;3.0;;;;"903;904";5004;0.016667;0.166667;20.55;3.9;3749523.0
504;505;348;47;380000;6.0;;;;;"919;920";6545;;;;;3749524.0
505;506;46;47;380000;6.0;;;;;"921;922";5180;;;;;3749525.0
506;507;348;347;380000;6.0;;;Charlottenburg - Mitte;;;4167;;;;;3749526.0
507;508;38;346;380000;3.0;;;Teufelsbruch - Reuter;;907;7816;;;;;3749527.0
508;509;349;330;220000;6.0;1.0;;;;"219;220";45222;0.08;0.32;11.5;1.3;3749845.0
509;510;349;350;220000;6.0;1.0;;;;221;73783;0.08;0.32;11.5;1.3;3749846.0
510;511;338;350;220000;3.0;2.0;;;;223;62836;0.08;0.32;11.5;1.3;3749847.0
511;512;349;351;220000;;2.0;;;;"227;228";24278;;;;;3749848.0
512;513;338;336;220000;3.0;1.0;;;;PWR 248;131401;0.16;0.64;5.75;0.65;3749849.0
513;514;14;352;220000;3.0;2.0;;;;258;32843;0.08;0.32;11.5;1.3;3749850.0
514;515;352;353;220000;3.0;2.0;;;;262;39810;0.08;0.32;11.5;1.3;3749851.0
515;516;15;353;380000;3.0;2.0;;;;421;76213;0.05;0.5;6.85;1.3;3749852.0
516;517;354;15;380000;3.0;4.0;;;;429;17702;0.025;0.25;13.7;2.6;3749853.0
517;518;354;15;380000;3.0;4.0;;;;430;17627;0.025;0.25;13.7;2.6;3749854.0
518;519;15;337;380000;9.0;4.0;;;;"443;444;446";61219;0.008333;0.083333;41.1;7.8;3749855.0
519;520;232;227;380000;;;;Vöhringen Amprion - LEW;;;161;;;;;3749856.0
520;521;315;232;220000;3.0;;;Vöhringen LEW - Oberottmarshausen;;;59729;;;;;3749857.0
521;522;235;322;220000;6.0;;;;EnBW;5120;72367;;;;;3756855.0
522;523;322;288;220000;6.0;4.0;;Weier - Eichstetten;;;48835;0.02;0.08;46.0;5.2;3756856.0
523;524;355;100;220000;6.0;;;Niederstedem (DE) - Vianden (LU);;;23055;;;;;3756857.0
524;525;356;355;220000;3.0;;;Bauler (DE) - Vianden (LU);;;2551;;;;;3756858.0
525;526;357;356;220000;3.0;;50.0;Bauler (DE) - Flebour (LU);;;10359;;;;;3756859.0
526;527;356;358;220000;3.0;;50.0;Bauler (DE) - Roost (LU);;;28059;;;;;3756860.0
527;528;359;360;380000;6.0;4.0;50.0;Ensdorf (DE) - Vigy (FR);;;40220;0.0125;0.125;27.4;5.2;3756990.0
528;529;360;361;220000;3.0;2.0;;Ensdorf (DE) - Saint Avold (FR);;;20132;0.08;0.32;11.5;1.3;3756991.0
529;530;235;362;220000;6.0;;;Gurtweil (DE) - Laufenburg (CH);;;22573;;;;;3756997.0
530;531;167;363;220000;6.0;2.0;;Wambel - Ratsbusch;;;1864;0.04;0.16;23.0;2.6;3763835.0
531;532;125;364;220000;6.0;;;Wiesdorf Ltg;;;3618;;;;;3763836.0
532;533;365;346;380000;6.0;;;Reuter;;"901;902";1557;;;;;3764521.0
533;534;261;366;380000;3.0;3.0;50.0;Bruchsal-Kändelweg-Pulverdingen;;;56641;0.033333;0.333333;10.275;1.95;3767046.0
534;535;54;56;380000;3.0;;;HD-Neurott - Phillipsburg;;;22314;;;;;3767048.0
535;536;367;366;380000;3.0;3.0;50.0;Philippsburg-Bruchsal-Kändelweg;;;21655;0.033333;0.333333;10.275;1.95;3767049.0
536;537;231;368;380000;3.0;;;Wehr - Kühmoos II;Schluchseewerk AG;;7677;;;;;3782492.0
537;538;231;368;380000;3.0;;;Wehr - Kühmoos I;Schluchseewerk AG;;7697;;;;;3782493.0
538;539;30;369;380000;3.0;2.0;50.0;Alfstedt - Dollern;TenneT;;32535;0.05;0.5;6.85;1.3;3803146.0
539;540;61;369;380000;3.0;2.0;50.0;Farge - Alfstedt;TenneT;;58758;0.05;0.5;6.85;1.3;3803147.0
540;541;256;370;220000;6.0;2.0;;Diefflen - Dillinger Hütte;;;1300;0.04;0.16;23.0;2.6;3803492.0
541;542;256;371;220000;3.0;2.0;50.0;Diefflen - Obergraben;amprion;2460;481;0.08;0.32;11.5;1.3;3803493.0
542;543;256;372;220000;3.0;2.0;50.0;Diefflen - Saarwellingen;amprion;2451;1123;0.08;0.32;11.5;1.3;3803494.0
543;544;99;360;380000;6.0;4.0;;Uchtelfangen - Ensdorf;;;23314;0.0125;0.125;27.4;5.2;3803495.0
544;545;356;100;220000;6.0;;;;;;20456;;;;;3803496.0
545;546;356;355;220000;3.0;;;Bauler (DE) - Vianden (LU);;;2551;;;;;3803497.0
546;547;334;78;380000;3.0;3.0;;;;414;56005;0.033333;0.333333;10.275;1.95;3805411.0
547;548;338;373;220000;3.0;;;;;PWR 275;35879;;;;;3861963.0
548;549;207;374;220000;3.0;;;Amelsbüren - Münster;;;3524;;;;;3861964.0
549;550;57;375;220000;3.0;2.0;;Oberwald - Elfmorgenbruch;Transnet BW GmbH;;2682;0.08;0.32;11.5;1.3;3861966.0
550;551;209;376;380000;3.0;4.0;;3016;;;5849;0.025;0.25;13.7;2.6;3862869.0
551;552;377;378;380000;3.0;3.0;;AL1-BZW;;;19672;0.033333;0.333333;10.275;1.95;3862870.0
552;553;378;379;380000;3.0;3.0;;AL1-EDS;;;13396;0.033333;0.333333;10.275;1.95;3862871.0
553;554;320;379;380000;3.0;3.0;;EDS-WDL;;;20606;0.033333;0.333333;10.275;1.95;3862873.0
554;555;380;299;220000;3.0;2.0;;Mehrum - Lahe;;;26537;0.08;0.32;11.5;1.3;3862874.0
555;556;307;381;220000;3.0;2.0;;Großgartach - Obrigheim;;;27271;0.08;0.32;11.5;1.3;3866628.0
556;557;382;308;220000;3.0;2.0;50.0;;;234;2736;0.08;0.32;11.5;1.3;3866867.0
557;558;382;383;220000;3.0;;;;;271;5193;;;;;3866868.0
558;559;384;382;220000;3.0;2.0;;;;278;90842;0.08;0.32;11.5;1.3;3866869.0
559;560;246;385;380000;3.0;3.0;;;;412;29670;0.033333;0.333333;10.275;1.95;3866871.0
560;561;246;308;380000;;3.0;;;;417;115835;;;;;3866872.0
561;562;385;308;380000;;;;;;418;86602;;;;;3866873.0
562;563;382;308;380000;;;;;;485;2266;;;;;3866874.0
563;564;382;308;380000;3.0;4.0;;;;487;2959;0.025;0.25;13.7;2.6;3866875.0
564;565;254;225;220000;3.0;1.0;;Pfalz;;;46972;0.16;0.64;5.75;0.65;3868253.0
565;566;220;76;380000;6.0;4.0;;Bechterdissen - Elsen;TenneT;;32036;0.0125;0.125;27.4;5.2;3873611.0
566;567;220;386;220000;3.0;2.0;;Bechterdissen - Lage;;A3;12014;0.08;0.32;11.5;1.3;3873612.0
567;568;387;386;220000;3.0;1.0;;Lage - Veltheim;;A6;40653;0.16;0.64;5.75;0.65;3873613.0
568;569;220;387;220000;;;;Veltheim - Bechterdissen;;;31859;;;;;3873614.0
569;570;388;387;220000;6.0;2.0;;Veltheim - Meißen;;"A8;A9";11103;0.04;0.16;23.0;2.6;3873615.0
570;571;389;385;220000;6.0;;;;;"216;217";46738;;;;;3874447.0
571;572;334;390;380000;3.0;4.0;;;;432;80918;0.025;0.25;13.7;2.6;3874448.0
572;573;384;503;380000;3.0;4.0;;;;431;81199;0.025;0.25;13.7;2.6;3874451.0
573;574;384;390;380000;3.0;4.0;;;;438;27327;0.025;0.25;13.7;2.6;3874452.0
574;575;391;385;220000;6.0;1.0;;Staudinger - Aschaffenburg;;;28944;0.08;0.32;11.5;1.3;3874453.0
575;576;384;389;220000;6.0;1.0;;Trennfeld - Raitersaich;;211;114952;0.08;0.32;11.5;1.3;3874454.0
576;577;144;392;220000;3.0;;50.0;;;;647;;;;;3883649.0
577;578;16;49;380000;3.0;;;;;3024;26183;;;;;3883856.0
578;579;49;50;380000;3.0;;50.0;;;3845;5532;;;;;3883857.0
579;580;37;49;380000;3.0;;;;50Hertz;491;48742;;;;;3883858.0
580;581;37;49;380000;3.0;;;;50Hertz;492;48762;;;;;3883859.0
581;582;393;233;380000;3.0;;50.0;Delmensingen - Niederstotzingen;;;40939;;;;;3883861.0
582;583;394;312;380000;3.0;;;Goldshöfe - Rotensohl;;;20324;;;;;3883862.0
583;584;262;395;380000;3.0;;50.0;Grünkraut - Obermooweiler;;;18321;;;;;3883863.0
584;585;396;230;380000;3.0;;50.0;Gundelfingen - Gundremmingen;LEW;;2192;;;;;3883864.0
585;586;397;504;380000;6.0;4.0;50.0;;TenneT;3011;26751;0.0125;0.125;27.4;5.2;3885009.0
586;587;397;246;380000;3.0;4.0;50.0;;;3024;19673;0.025;0.25;13.7;2.6;3885011.0
587;588;25;398;380000;6.0;2.0;50.0;;TenneT;303;50900;0.025;0.25;13.7;2.6;3885012.0
588;589;81;74;380000;3.0;;;;50Hertz;539;43374;;;;;3885041.0
589;590;81;74;380000;3.0;;;;50Hertz;540;43390;;;;;3885042.0
590;591;280;80;380000;3.0;;50.0;;50Hertz;557;93956;;;;;3885043.0
591;592;280;80;380000;3.0;;50.0;;50Hertz;558;93968;;;;;3885044.0
592;593;81;280;380000;3.0;;;;50Hertz;559;121518;;;;;3885045.0
593;594;81;280;380000;3.0;;;;50Hertz;560;121488;;;;;3885046.0
594;595;399;261;220000;3.0;;;;;9333;9517;;;;;3888199.0
595;596;220;387;220000;3.0;;50.0;;;A1;34215;;;;;3888200.0
596;597;220;400;220000;6.0;;50.0;;;;1688;;;;;3888201.0
597;598;400;387;220000;3.0;;50.0;;Netz Veltheim;A2;33127;;;;;3888202.0
598;599;401;24;220000;3.0;1.0;50.0;207A;TenneT;207A;24711;0.16;0.64;5.75;0.65;3889743.0
599;600;83;401;220000;3.0;1.0;50.0;207A;TenneT;207A;19443;0.16;0.64;5.75;0.65;3889744.0
600;601;22;402;220000;3.0;;;;;212;18361;;;;;3889745.0
601;602;99;239;220000;3.0;2.0;;Osburg;;;70873;0.08;0.32;11.5;1.3;3889746.0
602;603;362;231;220000;6.0;;50.0;Kühmoss - Laufenberg 220 kV;;;9171;;;;;3915992.0
603;604;362;231;380000;6.0;;50.0;Kühmoss - Laufenberg 380 kV;;;9389;;;;;3915993.0
604;605;403;362;380000;3.0;;;Tiengen (DE) - Laufenberg (CH);;;22988;;;;;3916226.0
605;606;403;404;380000;3.0;;;Tiengen (DE) - Beznau (CH) 380 kV;;;10843;;;;;3916290.0
606;607;403;404;220000;3.0;;;Tiengen (DE) - Beznau (CH) 220 kV;;;9954;;;;;3916291.0
607;608;231;501;380000;;;;Asphard (CH) - Kühmoos (DE);;;27687;;;;;3916522.0
608;609;189;362;380000;3.0;;;Trossingen (DE) - Laufenburg (CH);;;82322;;;;;3916550.0
609;610;234;406;220000;3.0;;;Beuren - Stockach;;;12245;;;;;3918228.0
610;611;235;406;220000;3.0;;;Gurtweil - Beuren;;;77281;;;;;3918229.0
611;612;407;408;450000;;;0.0;Herrenwyk (DE) - Kruseberg (SE);;;266520;;;;;3918230.0
612;613;235;403;220000;3.0;;;Tiengen - Gurtweil;;;878;;;;;3918231.0
613;614;216;261;380000;3.0;;;Hoheneck Amprion - Pulverdingen;;;12779;;;;;3926258.0
614;615;409;261;380000;3.0;;;Mühlhausen - Pulverdingen;;;30528;;;;;3926259.0
615;616;410;230;380000;12.0;4.0;;;;;1872;0.00625;0.0625;54.8;10.4;3926261.0
616;617;220;411;220000;3.0;;;Bechterdissen - Paderbord/Süd;;;38689;;;;;3937928.0
617;618;23;412;220000;3.0;;;;;208;48786;;;;;3943779.0
618;619;384;350;220000;;;;;;237;39327;;;;;3943780.0
619;620;307;312;220000;3.0;;;Großgartach - Goldshöfe;;;104727;;;;;3945260.0
620;621;409;320;380000;3.0;;;Mühlhausen - Wendlingen;;;38338;;;;;3945261.0
621;622;413;56;220000;3.0;2.0;;Wiesloch - HD-Neurott;;;9620;0.08;0.32;11.5;1.3;3945263.0
622;623;216;261;380000;3.0;;;;;;12779;;;;;3945266.0
623;624;384;350;220000;3.0;;;;;237;39327;;;;;3946835.0
624;625;27;414;220000;3.0;;;Götzdorf - Stade;;;4546;;;;;3947498.0
625;626;30;27;220000;6.0;;;;;;11535;;;;;3947499.0
626;627;27;415;220000;3.0;;;;;;7034;;;;;3947500.0
627;628;415;414;220000;3.0;;;;;;3108;;;;;3947501.0
