;l_id;v_id_1;v_id_2;voltage;cables;wires;frequency;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation
628;629;362;501;380000;3.0;;;Asphard - Laufenburg;;;23664;;;;;3948321.0
629;630;416;362;380000;3.0;;;Sierentz (FR) - Laufenburg (CH);;;48482;;;;;3948325.0
630;631;328;417;220000;3.0;;;;;235;36580;;;;;3948357.0
631;632;328;417;220000;3.0;;;;;236;36504;;;;;3948358.0
632;633;418;417;220000;3.0;;;;;237;24385;;;;;3948359.0
633;634;418;417;220000;3.0;;;;;238;24457;;;;;3948360.0
634;635;6;299;220000;3.0;1.0;;;;;14731;0.16;0.64;5.75;0.65;3952096.0
635;636;221;419;300000;;;0.0;Borwin 1;;;189583;;;;;3952638.0
636;637;221;420;300000;;;0.0;Borwin 2;;;189531;;;;;3952639.0
637;638;264;403;220000;;;;Herbertingen - Tiengen;;;112504;;;;;3983637.0
638;639;264;403;380000;;;;Herbertingen - Tiengen;;;113579;;;;;3983638.0
639;640;24;272;220000;3.0;1.0;;;;206;63335;0.16;0.64;5.75;0.65;3983706.0
640;641;224;229;220000;6.0;;;;;;12514;;;;;3989160.0
641;642;421;56;220000;3.0;;;;;;37272;;;;;3989162.0
642;643;421;309;380000;3.0;;;;;;45289;;;;;3989163.0
643;644;422;56;220000;6.0;2.0;;HD-Neurott - HD-Süd;;;3194;0.04;0.16;23.0;2.6;4013370.0
644;645;286;303;220000;6.0;2.0;;Würgassen - Sandershausen;;;46150;0.04;0.16;23.0;2.6;4013372.0
645;646;231;423;220000;3.0;;;Leitung 1 von Säckingen nach Kühlmoos;;;3900;;;;;4013373.0
646;647;424;52;220000;6.0;;;;;;2852;;;;;4013374.0
647;648;220;157;380000;3.0;4.0;;;;4375;26577;0.025;0.25;13.7;2.6;4430965.0
648;649;297;425;220000;6.0;;50.0;;;;3638;;;;;4441425.0
649;650;297;426;220000;6.0;;50.0;;;;2421;;;;;4441426.0
650;651;279;344;220000;3.0;2.0;50.0;;50hertz;225;18201;0.08;0.32;11.5;1.3;4713421.0
651;652;201;62;220000;3.0;1.0;50.0;;;2144;38836;0.16;0.64;5.75;0.65;4741567.0
652;653;279;323;220000;3.0;;50.0;Röhrsdorf - Crossen;50Hertz;211;30252;;;;;4815174.0
653;654;52;53;380000;3.0;4.0;50.0;Eichstetten - Daxlanden;;7510;120921;0.025;0.25;13.7;2.6;4819879.0
654;655;256;371;220000;3.0;2.0;50.0;Diefflen - Obergraben;amprion;2460;484;0.08;0.32;11.5;1.3;4819954.0
655;656;256;372;220000;3.0;2.0;50.0;Diefflen - Saarwellingen;amprion;2451;1110;0.08;0.32;11.5;1.3;4819990.0
656;657;52;427;380000;3.0;4.0;50.0;;;7564;802;0.025;0.25;13.7;2.6;4858100.0
657;658;279;65;380000;3.0;3.0;50.0;;;446;81652;0.033333;0.333333;10.275;1.95;5134203.0
658;659;60;160;380000;3.0;1.0;50.0;;;;207;0.1;1.0;3.425;0.65;5152505.0
659;660;60;160;380000;3.0;1.0;50.0;;;;177;0.1;1.0;3.425;0.65;5152506.0
660;661;159;161;220000;3.0;;50.0;;;;143;;;;;5152510.0
661;662;159;161;220000;3.0;;50.0;;;;113;;;;;5152511.0
662;663;16;49;380000;3.0;4.0;50.0;;;3024;26183;0.025;0.25;13.7;2.6;5207092.0
663;664;24;272;220000;3.0;1.0;50.0;;TenneT;206;63332;0.16;0.64;5.75;0.65;5207200.0
664;665;13;14;220000;3.0;2.0;50.0;Oba-Nfi II;TenneT TSO GmbH;264;39295;0.08;0.32;11.5;1.3;5247406.0
665;666;8;21;380000;3.0;;50.0;"991;992 II";50Hertz;"991;992";28593;;;;;5247533.0
666;667;52;367;380000;3.0;3.0;;Daxladen-Phillippsburg II;;7520;33176;0.033333;0.333333;10.275;1.95;5247596.0
667;668;13;64;380000;3.0;4.0;;Oberbachern - Menzing II;Stadtwerke München;"439;440";17116;0.025;0.25;13.7;2.6;5247617.0
668;669;231;423;220000;3.0;;;Leitung 2 von Säckingen nach Kühlmoos;;;3898;;;;;5268323.0
669;670;231;423;220000;3.0;;;Leitung 3 von Säckingen nach Kühlmoos;;;3867;;;;;5268327.0
670;671;231;423;220000;3.0;;;Leitung 4 von Säckingen nach Kühlmoos;;;3869;;;;;5268331.0
671;672;25;22;380000;3.0;;50.0;309 AKW Brunsbüttel - UW Wilster II;TenneT;309 II;10257;;;;;5374815.0
672;673;28;27;220000;3.0;;50.0;AKW Stade - UW Kummerfeld;;;23794;;;;;5379925.0
673;674;505;362;380000;3.0;2.0;50.0;;;;23092;0.05;0.5;6.85;1.3;6031724.0
674;675;30;201;380000;3.0;2.0;50.0;3100 schwarz;TenneT;3100;52743;0.05;0.5;6.85;1.3;5497488.0
675;676;30;201;380000;3.0;2.0;50.0;3100 grün;TenneT;3100;52746;0.05;0.5;6.85;1.3;5497490.0
676;677;500;32;380000;3.0;3.0;50.0;Pulgar - Vieselbach;50Hertz Transmission;590;104472;0.033333;0.333333;10.275;1.95;5507286.0
677;678;38;346;380000;3.0;;50.0;Teufelsbruch - Reuter;50Hertz Transmission;908;7816;;;;;5681704.0
678;679;506;404;380000;3.0;3.0;50.0;;;;10981;0.033333;0.333333;10.275;1.95;5716084.0
679;680;506;362;380000;3.0;3.0;50.0;;;;15729;0.033333;0.333333;10.275;1.95;5716119.0
680;681;506;507;380000;3.0;;50.0;;;;439;;;;;5716120.0
681;682;362;404;220000;3.0;2.0;50.0;;;;15077;0.08;0.32;11.5;1.3;5716121.0
682;683;332;338;220000;3.0;;;Pleinting - Schwandorf;;;112689;;;;;5794077.0
683;684;508;509;220000;3.0;2.0;50.0;;;;29715;0.08;0.32;11.5;1.3;5978211.0
684;685;362;508;220000;3.0;2.0;50.0;;;;6386;0.08;0.32;11.5;1.3;5978214.0
685;686;362;510;380000;3.0;2.0;50.0;;;;79543;0.05;0.5;6.85;1.3;5986624.0
686;687;362;511;380000;3.0;2.0;50.0;;;;76037;0.05;0.5;6.85;1.3;5986625.0
687;688;362;512;220000;3.0;1.0;50.0;Laufenburg - Lindenholz;;;53296;0.16;0.64;5.75;0.65;6031720.0
688;689;362;513;220000;3.0;1.0;50.0;Laufenburg - Oftenburg;;;29494;0.16;0.64;5.75;0.65;6031722.0
689;690;362;514;380000;3.0;2.0;50.0;;;;23432;0.05;0.5;6.85;1.3;6031723.0
690;691;359;360;400000;;;50.0;;RTE;;40208;;;;;6170191.0
691;692;515;516;380000;6.0;;50.0;;;;163;;;;;6227660.0
692;693;119;431;380000;3.0;4.0;50.0;Kirchberg Süd;Amprion;;20673;0.025;0.25;13.7;2.6;69607.0
693;694;429;431;380000;3.0;4.0;50.0;Kirchberg Süd;Amprion;;3765;0.025;0.25;13.7;2.6;69607.0
694;695;430;431;380000;3.0;4.0;50.0;Kirchberg Süd;Amprion;;34207;0.025;0.25;13.7;2.6;69607.0
695;696;432;434;220000;3.0;2.0;50.0;Silz (AT) - Krün (DE) - Oberbrunn;;"250;251";42197;0.08;0.32;11.5;1.3;110486.0
696;697;433;434;220000;3.0;2.0;50.0;Silz (AT) - Krün (DE) - Oberbrunn;;"250;251";806;0.08;0.32;11.5;1.3;110486.0
697;698;19;434;220000;3.0;2.0;50.0;Silz (AT) - Krün (DE) - Oberbrunn;;"250;251";71416;0.08;0.32;11.5;1.3;110486.0
698;699;44;435;220000;3.0;2.0;50.0;302 Marzahn - Thyrow;50Hertz;302;80;0.08;0.32;11.5;1.3;241441.0
699;700;46;435;220000;3.0;2.0;50.0;302 Marzahn - Thyrow;50Hertz;302;9088;0.08;0.32;11.5;1.3;241441.0
700;701;45;435;220000;3.0;2.0;50.0;302 Marzahn - Thyrow;50Hertz;302;38914;0.08;0.32;11.5;1.3;241441.0
701;702;288;439;220000;3.0;4.0;50.0;Daxlanden - Weier;EnBW;DAXLA-KUMRA-WEIER;47488;0.04;0.16;23.0;2.6;339244.0
702;703;52;439;220000;3.0;4.0;50.0;Daxlanden - Weier;EnBW;DAXLA-KUMRA-WEIER;19944;0.04;0.16;23.0;2.6;339244.0
703;704;438;439;220000;3.0;4.0;50.0;Daxlanden - Weier;EnBW;DAXLA-KUMRA-WEIER;304;0.04;0.16;23.0;2.6;339244.0
704;705;23;440;220000;3.0;1.0;50.0;202;TenneT;202;39547;0.16;0.64;5.75;0.65;908964.0
705;706;402;440;220000;3.0;1.0;50.0;202;TenneT;202;12339;0.16;0.64;5.75;0.65;908964.0
706;707;26;440;220000;3.0;1.0;50.0;202;TenneT;202;9590;0.16;0.64;5.75;0.65;908964.0
707;708;32;442;380000;3.0;4.0;50.0;415;50Hertz;415;25886;0.025;0.25;13.7;2.6;918569.0
708;709;441;442;380000;3.0;4.0;50.0;415;50Hertz;415;3833;0.025;0.25;13.7;2.6;918569.0
709;710;78;442;380000;3.0;4.0;50.0;415;50Hertz;415;51850;0.025;0.25;13.7;2.6;918569.0
710;711;86;444;380000;3.0;4.0;50.0;Emsland West;"Amprion;TenneT";305;84887;0.025;0.25;13.7;2.6;962119.0
711;712;443;444;380000;3.0;4.0;50.0;Emsland West;"Amprion;TenneT";305;60;0.025;0.25;13.7;2.6;962119.0
712;713;221;444;380000;3.0;4.0;50.0;Emsland West;"Amprion;TenneT";305;13173;0.025;0.25;13.7;2.6;962119.0
713;714;207;445;220000;3.0;1.0;50.0;Amelsbüren;Amprion;;42137;0.16;0.64;5.75;0.65;962174.0
714;715;95;445;220000;3.0;1.0;50.0;Amelsbüren;Amprion;;41217;0.16;0.64;5.75;0.65;962174.0
715;716;86;445;220000;3.0;1.0;50.0;Amelsbüren;Amprion;;35349;0.16;0.64;5.75;0.65;962174.0
716;717;181;447;220000;3.0;2.0;50.0;316;50Hertz Transmission;316;61670;0.08;0.32;11.5;1.3;1021993.0
717;718;446;447;220000;3.0;2.0;50.0;316;50Hertz Transmission;316;199;0.08;0.32;11.5;1.3;1021993.0
718;719;42;447;220000;3.0;2.0;50.0;316;50Hertz Transmission;316;89448;0.08;0.32;11.5;1.3;1021993.0
719;720;135;448;380000;3.0;4.0;50.0;Schwerterheide Nord;Amprion;;28639;0.025;0.25;13.7;2.6;1082812.0
720;721;109;448;380000;3.0;4.0;50.0;Schwerterheide Nord;Amprion;;8886;0.025;0.25;13.7;2.6;1082812.0
721;722;112;448;380000;3.0;4.0;50.0;Schwerterheide Nord;Amprion;;16056;0.025;0.25;13.7;2.6;1082812.0
722;723;113;449;380000;3.0;4.0;50.0;Oerkhaus West;Amprion;;11488;0.025;0.25;13.7;2.6;1082813.0
723;724;107;449;380000;3.0;4.0;50.0;Oerkhaus West;Amprion;;129;0.025;0.25;13.7;2.6;1082813.0
724;725;132;449;380000;3.0;4.0;50.0;Oerkhaus West;Amprion;;39216;0.025;0.25;13.7;2.6;1082813.0
725;726;112;451;380000;3.0;4.0;50.0;Witten West;Amprion;;16271;0.025;0.25;13.7;2.6;1082817.0
726;727;450;451;380000;3.0;4.0;50.0;Witten West;Amprion;;455;0.025;0.25;13.7;2.6;1082817.0
727;728;109;451;380000;3.0;4.0;50.0;Witten West;Amprion;;8293;0.025;0.25;13.7;2.6;1082817.0
728;729;452;453;380000;3.0;4.0;50.0;Selhausen West;Amprion;;344;0.025;0.25;13.7;2.6;1082945.0
729;730;100;453;380000;3.0;4.0;50.0;Selhausen West;Amprion;;58347;0.025;0.25;13.7;2.6;1082945.0
730;731;119;453;380000;3.0;4.0;50.0;Selhausen West;Amprion;;60215;0.025;0.25;13.7;2.6;1082945.0
731;732;124;454;380000;3.0;4.0;50.0;Neurath 2b;Amprion;;376;0.025;0.25;13.7;2.6;1082950.0
732;733;125;454;380000;3.0;4.0;50.0;Neurath 2b;Amprion;;35535;0.025;0.25;13.7;2.6;1082950.0
733;734;131;454;380000;3.0;4.0;50.0;Neurath 2b;Amprion;;226;0.025;0.25;13.7;2.6;1082950.0
734;735;455;456;380000;3.0;4.0;50.0;Meerbusch West;Amprion;;13641;0.025;0.25;13.7;2.6;1082951.0
735;736;173;456;380000;3.0;4.0;50.0;Meerbusch West;Amprion;;16534;0.025;0.25;13.7;2.6;1082951.0
736;737;184;456;380000;3.0;4.0;50.0;Meerbusch West;Amprion;;23238;0.025;0.25;13.7;2.6;1082951.0
737;738;100;453;380000;3.0;4.0;50.0;Selhausen Ost;Amprion;;58369;0.025;0.25;13.7;2.6;1082968.0
738;739;452;453;380000;3.0;4.0;50.0;Selhausen Ost;Amprion;;341;0.025;0.25;13.7;2.6;1082968.0
739;740;119;453;380000;3.0;4.0;50.0;Selhausen Ost;Amprion;;60215;0.025;0.25;13.7;2.6;1082968.0
740;741;144;457;220000;3.0;2.0;50.0;Hochlarmark West;Amprion;;11607;0.08;0.32;11.5;1.3;1082978.0
741;742;140;457;220000;3.0;2.0;50.0;Hochlarmark West;Amprion;;10577;0.08;0.32;11.5;1.3;1082978.0
742;743;87;457;220000;3.0;2.0;50.0;Hochlarmark West;Amprion;;17387;0.08;0.32;11.5;1.3;1082978.0
743;744;165;458;220000;3.0;2.0;50.0;Haarstrang Ost;Amprion;;76746;0.08;0.32;11.5;1.3;1082988.0
744;745;141;458;220000;3.0;2.0;50.0;Haarstrang Ost;Amprion;;12095;0.08;0.32;11.5;1.3;1082988.0
745;746;450;458;220000;3.0;2.0;50.0;Haarstrang Ost;Amprion;;140;0.08;0.32;11.5;1.3;1082988.0
746;747;106;460;220000;3.0;2.0;50.0;Welper Ost;Amprion;;5296;0.08;0.32;11.5;1.3;1082991.0
747;748;144;460;220000;3.0;2.0;50.0;Welper Ost;Amprion;;6851;0.08;0.32;11.5;1.3;1082991.0
748;749;459;460;220000;3.0;2.0;50.0;Welper Ost;Amprion;;1686;0.08;0.32;11.5;1.3;1082991.0
749;750;199;462;220000;3.0;1.0;50.0;Elmenhorst Süd;Amprion;;9882;0.16;0.64;5.75;0.65;1082993.0
750;751;140;462;220000;3.0;1.0;50.0;Elmenhorst Süd;Amprion;;7667;0.16;0.64;5.75;0.65;1082993.0
751;752;461;462;220000;3.0;1.0;50.0;Elmenhorst Süd;Amprion;;1719;0.16;0.64;5.75;0.65;1082993.0
752;753;461;462;220000;3.0;1.0;50.0;Cappenberg Nord;Amprion;;1719;0.16;0.64;5.75;0.65;1082995.0
753;754;165;462;220000;3.0;1.0;50.0;Cappenberg Nord;Amprion;;29546;0.16;0.64;5.75;0.65;1082995.0
754;755;140;462;220000;3.0;1.0;50.0;Cappenberg Nord;Amprion;;7658;0.16;0.64;5.75;0.65;1082995.0
755;756;184;463;220000;3.0;1.0;50.0;Utfort West;Amprion;;21121;0.16;0.64;5.75;0.65;1083000.0
756;757;153;463;220000;3.0;1.0;50.0;Utfort West;Amprion;;22759;0.16;0.64;5.75;0.65;1083000.0
757;758;176;463;220000;3.0;1.0;50.0;Utfort West;Amprion;;3463;0.16;0.64;5.75;0.65;1083000.0
758;759;117;465;220000;3.0;2.0;50.0;Godorf Ost;Amprion;;6533;0.08;0.32;11.5;1.3;1083936.0
759;760;464;465;220000;3.0;2.0;50.0;Godorf Ost;Amprion;;3015;0.08;0.32;11.5;1.3;1083936.0
760;761;134;465;220000;3.0;2.0;50.0;Godorf Ost;Amprion;;17870;0.08;0.32;11.5;1.3;1083936.0
761;762;150;467;220000;3.0;2.0;50.0;Gremberghoven Ost;Amprion;;12144;0.08;0.32;11.5;1.3;1083940.0
762;763;149;467;220000;3.0;2.0;50.0;Gremberghoven Ost;Amprion;;8580;0.08;0.32;11.5;1.3;1083940.0
763;764;466;467;220000;3.0;2.0;50.0;Gremberghoven Ost;Amprion;;100;0.08;0.32;11.5;1.3;1083940.0
764;765;105;469;220000;3.0;1.0;50.0;Wesel Ost;Amprion;;10852;0.16;0.64;5.75;0.65;1167322.0
765;766;468;469;220000;3.0;1.0;50.0;Wesel Ost;Amprion;;5443;0.16;0.64;5.75;0.65;1167322.0
766;767;184;469;220000;3.0;1.0;50.0;Wesel Ost;Amprion;;9236;0.16;0.64;5.75;0.65;1167322.0
767;768;110;470;380000;3.0;4.0;50.0;Uentrop Nord;Amprion;;14880;0.025;0.25;13.7;2.6;1547589.0
768;769;90;470;380000;3.0;4.0;50.0;Uentrop Nord;Amprion;;42344;0.025;0.25;13.7;2.6;1547589.0
769;770;165;470;380000;3.0;4.0;50.0;Uentrop Nord;Amprion;;12437;0.025;0.25;13.7;2.6;1547589.0
770;771;464;471;220000;3.0;2.0;50.0;Olefin West;Amprion;;3031;0.08;0.32;11.5;1.3;1548410.0
771;772;134;471;220000;3.0;2.0;50.0;Olefin West;Amprion;;17908;0.08;0.32;11.5;1.3;1548410.0
772;773;117;471;220000;3.0;2.0;50.0;Olefin West;Amprion;;6495;0.08;0.32;11.5;1.3;1548410.0
773;774;472;473;380000;3.0;4.0;50.0;Gersteinwerk Ost;Amprion;;13583;0.025;0.25;13.7;2.6;1610621.0
774;775;110;473;380000;3.0;4.0;50.0;Gersteinwerk Ost;Amprion;;14640;0.025;0.25;13.7;2.6;1610621.0
775;776;165;473;380000;3.0;4.0;50.0;Gersteinwerk Ost;Amprion;;13226;0.025;0.25;13.7;2.6;1610621.0
776;777;474;475;220000;3.0;2.0;50.0;Leitung 2010/2023;TenneT;1;797;0.08;0.32;11.5;1.3;1631562.0
777;778;201;475;220000;3.0;2.0;50.0;Leitung 2010/2023;TenneT;1;33880;0.08;0.32;11.5;1.3;1631562.0
778;779;2;475;220000;3.0;2.0;50.0;Leitung 2010/2023;TenneT;1;42735;0.08;0.32;11.5;1.3;1631562.0
779;780;265;477;220000;3.0;1.0;50.0;Halle West;Amprion;;28136;0.16;0.64;5.75;0.65;1633668.0
780;781;476;477;220000;3.0;1.0;50.0;Halle West;Amprion;;1188;0.16;0.64;5.75;0.65;1633668.0
781;782;157;477;220000;3.0;1.0;50.0;Halle West;Amprion;;18533;0.16;0.64;5.75;0.65;1633668.0
782;783;136;478;380000;3.0;4.0;50.0;Geithe West;Amprion;;4091;0.025;0.25;13.7;2.6;1703254.0
783;784;110;478;380000;3.0;4.0;50.0;Geithe West;Amprion;;1128;0.025;0.25;13.7;2.6;1703254.0
784;785;253;478;380000;3.0;4.0;50.0;Geithe West;Amprion;;244;0.025;0.25;13.7;2.6;1703254.0
785;786;226;480;220000;3.0;1.0;50.0;Leitung 2030/2001;TenneT;2030/2001;13345;0.16;0.64;5.75;0.65;1740849.0
786;787;479;480;220000;3.0;1.0;50.0;Leitung 2030/2001;TenneT;2030/2001;5246;0.16;0.64;5.75;0.65;1740849.0
787;788;259;480;220000;3.0;1.0;50.0;Leitung 2030/2001;TenneT;2030/2001;30661;0.16;0.64;5.75;0.65;1740849.0
788;789;259;480;220000;3.0;1.0;50.0;Leitung 2001;TenneT;2001;30662;0.16;0.64;5.75;0.65;1740852.0
789;790;479;480;220000;3.0;1.0;50.0;Leitung 2001;TenneT;2001;5246;0.16;0.64;5.75;0.65;1740852.0
790;791;6;480;220000;3.0;1.0;50.0;Leitung 2001;TenneT;2001;61023;0.16;0.64;5.75;0.65;1740852.0
791;792;301;481;380000;3.0;4.0;50.0;Leitung 3019/3026/3027;;"3019;3026;3027";76491;0.025;0.25;13.7;2.6;2318069.0
792;793;3;481;380000;3.0;4.0;50.0;Leitung 3019/3026/3027;;"3019;3026;3027";1614;0.025;0.25;13.7;2.6;2318069.0
793;794;210;481;380000;3.0;4.0;50.0;Leitung 3019/3026/3027;;"3019;3026;3027";856;0.025;0.25;13.7;2.6;2318069.0
794;795;299;482;220000;3.0;2.0;50.0;Leitung 2019/2027/2029;TenneT;2;29276;0.08;0.32;11.5;1.3;3113412.0
795;796;298;482;220000;3.0;2.0;50.0;Leitung 2019/2027/2029;TenneT;2;8468;0.08;0.32;11.5;1.3;3113412.0
796;797;297;482;220000;3.0;2.0;50.0;Leitung 2019/2027/2029;TenneT;2;1433;0.08;0.32;11.5;1.3;3113412.0
797;798;284;518;380000;6.0;4.0;50.0;;TenneT;3002;72555;0.0125;0.125;27.4;5.2;3688564.0
798;799;51;518;380000;6.0;4.0;50.0;;TenneT;3002;105;0.0125;0.125;27.4;5.2;3688564.0
799;800;517;518;380000;6.0;4.0;50.0;;TenneT;3002;116;0.0125;0.125;27.4;5.2;3688564.0
800;801;315;484;380000;3.0;4.0;;K12;;;50242;0.025;0.25;13.7;2.6;3710280.0
801;802;483;484;380000;3.0;4.0;;K12;;;88;0.025;0.25;13.7;2.6;3710280.0
802;803;247;484;380000;3.0;4.0;;K12;;;30415;0.025;0.25;13.7;2.6;3710280.0
803;804;485;487;220000;3.0;2.0;;;;O11;42997;0.08;0.32;11.5;1.3;3710285.0
804;805;315;487;220000;3.0;2.0;;;;O11;37581;0.08;0.32;11.5;1.3;3710285.0
805;806;486;487;220000;3.0;2.0;;;;O11;117;0.08;0.32;11.5;1.3;3710285.0
806;807;519;521;380000;3.0;3.0;;;50Hertz;577;4739;0.033333;0.333333;10.275;1.95;3730419.0
807;808;279;521;380000;3.0;3.0;;;50Hertz;577;26169;0.033333;0.333333;10.275;1.95;3730419.0
808;809;520;521;380000;3.0;3.0;;;50Hertz;577;17414;0.033333;0.333333;10.275;1.95;3730419.0
809;810;522;523;380000;3.0;4.0;50.0;547 Neuenhagen - Preilack;50Hertz;547;7642;0.025;0.25;13.7;2.6;3738978.0
810;811;81;523;380000;3.0;4.0;50.0;547 Neuenhagen - Preilack;50Hertz;547;38615;0.025;0.25;13.7;2.6;3738978.0
811;812;12;523;380000;3.0;4.0;50.0;547 Neuenhagen - Preilack;50Hertz;547;87113;0.025;0.25;13.7;2.6;3738978.0
812;813;522;523;380000;3.0;4.0;50.0;548 Neuenhagen - Preilack;50Hertz;548;7630;0.025;0.25;13.7;2.6;3738980.0
813;814;81;523;380000;3.0;4.0;50.0;548 Neuenhagen - Preilack;50Hertz;548;38638;0.025;0.25;13.7;2.6;3738980.0
814;815;12;523;380000;3.0;4.0;50.0;548 Neuenhagen - Preilack;50Hertz;548;87113;0.025;0.25;13.7;2.6;3738980.0
815;816;421;488;380000;3.0;;;HD-Neurott - Hüffenhardt;;;31844;;;;;3767047.0
816;817;56;488;380000;3.0;;;HD-Neurott - Hüffenhardt;;;7601;;;;;3767047.0
817;818;413;488;380000;3.0;;;HD-Neurott - Hüffenhardt;;;2206;;;;;3767047.0
818;819;489;490;380000;3.0;;;;TenneT;3012;261;;;;;3862868.0
819;820;3;490;380000;3.0;;;;TenneT;3012;28956;;;;;3862868.0
820;821;303;490;380000;3.0;;;;TenneT;3012;27970;;;;;3862868.0
821;822;233;491;380000;3.0;;50.0;Delmensingen - Niederstotzingen - Rotensohl;;;40623;;;;;3883860.0
822;823;394;491;380000;3.0;;50.0;Delmensingen - Niederstotzingen - Rotensohl;;;26428;;;;;3883860.0
823;824;393;491;380000;3.0;;50.0;Delmensingen - Niederstotzingen - Rotensohl;;;246;;;;;3883860.0
824;825;391;494;220000;9.0;;;Staudinger - Dörnigheim - Frankfurt Nord;;;21046;;;;;3945262.0
825;826;492;494;220000;9.0;;;Staudinger - Dörnigheim - Frankfurt Nord;;;770;;;;;3945262.0
826;827;493;494;220000;9.0;;;Staudinger - Dörnigheim - Frankfurt Nord;;;662;;;;;3945262.0
827;828;23;440;220000;3.0;1.0;50.0;202 II;TenneT;;39547;0.16;0.64;5.75;0.65;5299662.0
828;829;402;440;220000;3.0;1.0;50.0;202 II;TenneT;;12339;0.16;0.64;5.75;0.65;5299662.0
829;830;26;440;220000;3.0;1.0;50.0;202 II;TenneT;;9590;0.16;0.64;5.75;0.65;5299662.0
830;831;432;434;220000;3.0;2.0;50.0;Silz (AT) - Krün (DE) - Oberbrunn II;;"250;251";42197;0.08;0.32;11.5;1.3;5308445.0
831;832;433;434;220000;3.0;2.0;50.0;Silz (AT) - Krün (DE) - Oberbrunn II;;"250;251";806;0.08;0.32;11.5;1.3;5308445.0
832;833;19;434;220000;3.0;2.0;50.0;Silz (AT) - Krün (DE) - Oberbrunn II;;"250;251";71416;0.08;0.32;11.5;1.3;5308445.0
833;834;519;521;380000;3.0;3.0;50.0;;50Hertz;578;4718;0.033333;0.333333;10.275;1.95;5308496.0
834;835;279;521;380000;3.0;3.0;50.0;;50Hertz;578;26169;0.033333;0.333333;10.275;1.95;5308496.0
835;836;520;521;380000;3.0;3.0;50.0;;50Hertz;578;17414;0.033333;0.333333;10.275;1.95;5308496.0
